seed_group,task,seed,candidate_library,random_choice,aligned_choice,E
original_development,temporal_iid,101,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_iid,101,original_five,global_linear,global_linear,0.0
original_development,temporal_future,101,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_future,101,original_five,global_linear,recent_linear_25pct,1.9793444686697146
original_development,entity_seen,101,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
original_development,entity_seen,101,original_five,entity_mean,entity_mean,0.0
original_development,entity_unseen,101,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
original_development,entity_unseen,101,original_five,entity_mean,train_mean,0.0
original_development,temporal_iid,202,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_iid,202,original_five,global_linear,global_linear,0.0
original_development,temporal_future,202,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_future,202,original_five,global_linear,recent_linear_25pct,1.4007594599140627
original_development,entity_seen,202,augmented_nine,global_linear_entity_residual,entity_fixed_effects_linear,0.00013440784458477794
original_development,entity_seen,202,original_five,entity_mean,entity_mean,0.0
original_development,entity_unseen,202,augmented_nine,global_linear_entity_residual,time_hinge_interaction,-0.0575463218544064
original_development,entity_unseen,202,original_five,entity_mean,recent_linear_50pct,0.2698191381293825
original_development,temporal_iid,303,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_iid,303,original_five,global_linear,global_linear,0.0
original_development,temporal_future,303,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
original_development,temporal_future,303,original_five,global_linear,recent_linear_25pct,1.865214025580419
original_development,entity_seen,303,augmented_nine,entity_fixed_effects_linear,entity_fixed_effects_linear,0.0
original_development,entity_seen,303,original_five,entity_mean,entity_mean,0.0
original_development,entity_unseen,303,augmented_nine,entity_fixed_effects_linear,recent_linear_25pct,0.011979395661105808
original_development,entity_unseen,303,original_five,entity_mean,recent_linear_25pct,0.27306332264587735
original_development,temporal_iid,404,augmented_nine,time_hinge_interaction,time_hinge_interaction,0.0
